id,name,alias,tech,capacity,bus_a_id,bus_b_id,investment,active,r,x,tmin,tmax,voltage,segments,latitude,longitude,length,n,contingency,FOR,MTTR
25,NNSW–SQ Option 1,NL_54_INV9,DC,900,5,4,1,1,0.01,0.1,900,730,220,1,,,1,1,0,0,1
26,NNSW–SQ Option 2,NL_54_INV10,DC,1700,5,4,1,1,0.01,0.1,1700,1260,220,1,,,1,1,0,0,1
27,NNSW–SQ Option 3,NL_54_INV11,DC,200,5,4,0,0,0.01,0.1,200,200,220,1,,,1,1,0,0,1
28,NNSW–SQ Option 4,NL_54_INV12,DC,2000,5,4,1,1,0.01,0.1,2000,1800,220,1,,,1,1,0,0,1
29,NNSW–SQ Option 5,NL_54_INV13,DC,3000,5,4,1,1,0.01,0.1,2250,3000,220,1,,,1,1,0,0,1
30,CNSW-NNSW Option 1,NL_65_INV14,DC,3000,6,5,1,1,0.01,0.1,3000,3000,220,1,,,1,1,0,0,1
31,CNSW-NNSW Option 2,NL_65_INV15,DC,3000,6,5,1,1,0.01,0.1,3000,3000,220,1,,,1,1,0,0,1
32,CNSW-NNSW Option 3,NL_65_INV16,DC,3600,6,5,1,1,0.01,0.1,3600,3600,220,1,,,1,1,0,0,1
33,CNSW-NNSW Option 4,NL_65_INV17,DC,2000,6,5,1,1,0.01,0.1,2000,1750,220,1,,,1,1,0,0,1
34,CNSW-NNSW Option 5,NL_65_INV18,DC,2000,6,5,1,1,0.01,0.1,2000,1750,220,1,,,1,1,0,0,1
35,CNSW-SNW Option 1,NL_67_INV19,DC,5000,6,7,1,1,0.01,0.1,0,5000,220,1,,,1,1,0,0,1
36,CNSW-SNW Option 2,NL_67_INV20,DC,4500,6,7,1,1,0.01,0.1,0,4500,220,1,,,1,1,0,0,1
37,CNSW-SNW Option 2b,NL_67_INV21,DC,1200,6,7,1,1,0.01,0.1,0,1200,220,1,,,1,1,0,0,1
38,CNSW-SNW Option 2d,NL_67_INV22,DC,0,6,7,1,1,0.01,0.1,0,0,220,1,,,1,1,0,0,1
39,CNSW-SNW Option 3,NL_67_INV23,DC,8600,6,7,1,1,0.01,0.1,0,8600,220,1,,,1,1,0,0,1
40,CNSW-SNW Option 3d,NL_67_INV24,DC,5000,6,7,1,1,0.01,0.1,0,5000,220,1,,,1,1,0,0,1
41,CNSW-SNW Option 4,NL_67_INV25,DC,4400,6,7,1,1,0.01,0.1,0,4400,220,1,,,1,1,0,0,1
42,H-Newcastle,NL_67_INV26,DC,5000,6,7,1,1,0.01,0.1,5000,5000,220,1,,,1,1,0,0,1
43,H-Dapto,NL_67_INV27,DC,5000,6,7,1,1,0.01,0.1,5000,5000,220,1,,,1,1,0,0,1
44,CNSW-SNW Option 6a,NL_67_INV28,DC,4400,6,7,1,1,0.01,0.1,0,4400,220,1,,,1,1,0,0,1
45,CNSW-SNW Option 6b,NL_67_INV29,DC,4400,6,7,1,1,0.01,0.1,0,4400,220,1,,,1,1,0,0,1
46,SNSW-CNSW Option 1,NL_86_INV30,DC,2200,8,6,1,1,0.01,0.1,2200,2200,220,1,,,1,1,0,0,1
47,SNSW-CNSW Option 2,NL_86_INV31,DC,2000,8,6,1,1,0.01,0.1,2000,2000,220,1,,,1,1,0,0,1
48,SNSW-CNSW Option 3,NL_86_INV32,DC,6000,8,6,1,1,0.01,0.1,6000,6000,220,1,,,1,1,0,0,1
49,SNSW-CNSW Option 4,NL_86_INV33,DC,3000,8,6,1,1,0.01,0.1,3000,3000,220,1,,,1,1,0,0,1
50,VIC-SNSW Option 1 - VNI West,NL_98_INV34,DC,1935,9,8,1,1,0.01,0.1,1669,1935,220,1,,,1,1,0,0,1
51,TAS-VIC Option 1,NL_109_INV35,DC,750,10,9,1,1,0.01,0.1,750,750,220,1,,,1,1,0,0,1
52,TAS-VIC Option 2,NL_109_INV36,DC,750,10,9,1,1,0.01,0.1,750,750,220,1,,,1,1,0,0,1
53,VIC-SESA Option 1,NL_912_INV37,DC,1640,9,12,1,1,0.01,0.1,1640,1640,220,1,,,1,1,0,0,1
54,VIC-SESA Option 2,NL_912_INV38,DC,3000,9,12,1,1,0.01,0.1,3000,3000,220,1,,,1,1,0,0,1
55,SESA-CSA Option 1,NL_1211_INV39,DC,3000,12,11,1,1,0.01,0.1,3000,3000,220,1,,,1,1,0,0,1
